row ID,price_doc
1,0.3480376
2,0.3480376
3,0.3480376
4,0.3480376
5,0.3480376
6,0.3480376
7,0.3480376
8,0.3480376
9,0.3480376
10,0.3480376
11,0.3480376
12,0.3480376
13,0.3480376
14,0.3480376
15,0.3480376
16,0.3480376
17,0.3480376
18,0.3480376
19,0.3480376
20,0.3480376
21,0.3480376
22,0.3480376
23,0.3480376
24,0.3480376
25,0.3480376
26,0.3480376
27,0.3480376
28,0.3480376
29,0.3480376
30,0.3480376
31,0.3480376
32,0.3480376
33,0.3480376
34,0.3480376
35,0.3480376
36,0.3480376
37,0.3480376
38,0.3480376
39,0.3480376
40,0.3480376
41,0.3480376
42,0.3480376
43,0.3480376
44,0.3480376
45,0.3480376
46,0.3480376
47,0.3480376
48,0.3480376
49,0.3480376
50,0.3480376
51,0.3480376
52,0.3480376
53,0.3480376
54,0.3480376
55,0.3480376
56,0.3480376
57,0.3480376
58,0.3480376
59,0.3480376
60,0.3480376
61,0.3480376
62,0.3480376
63,0.3480376
64,0.3480376
65,0.3480376
66,0.3480376
67,0.3480376
68,0.3480376
69,0.3480376
70,0.3480376
71,0.3480376
72,0.3480376
73,0.3480376
74,0.3480376
75,0.3480376
76,0.3480376
77,0.3480376
78,0.3480376
79,0.3480376
80,0.3480376
81,0.3480376
82,0.3480376
83,0.3480376
84,0.3480376
85,0.3480376
86,0.3480376
87,0.3480376
88,0.3480376
89,0.3480376
90,0.3480376
91,0.3480376
92,0.3480376
93,0.3480376
94,0.3480376
95,0.3480376
96,0.3480376
97,0.3480376
98,0.3480376
99,0.3480376
100,0.3480376
101,0.3480376
102,0.3480376
103,0.3480376
104,0.3480376
105,0.3480376
106,0.3480376
107,0.3480376
108,0.3480376
109,0.3480376
110,0.3480376
111,0.3480376
112,0.3480376
113,0.3480376
114,0.3480376
115,0.3480376
116,0.3480376
117,0.3480376
118,0.3480376
119,0.3480376
120,0.3480376
121,0.3480376
122,0.3480376
123,0.3480376
124,0.3480376
125,0.3480376
126,0.3480376
127,0.3480376
128,0.3480376
129,0.3480376
130,0.3480376
131,0.3480376
132,0.3480376
133,0.3480376
134,0.3480376
135,0.3480376
136,0.3480376
137,0.3480376
138,0.3480376
139,0.3480376
140,0.3480376
141,0.3480376
142,0.3480376
143,0.3480376
144,0.3480376
145,0.3480376
146,0.3480376
147,0.3480376
148,0.3480376
149,0.3480376
150,0.3480376
151,0.3480376
152,0.3480376
153,0.3480376
154,0.3480376
155,0.3480376
156,0.3480376
157,0.3480376
158,0.3480376
159,0.3480376
160,0.3480376
161,0.3480376
162,0.3480376
163,0.3480376
164,0.3480376
165,0.3480376
166,0.3480376
167,0.3480376
168,0.3480376
169,0.3480376
170,0.3480376
171,0.3480376
172,0.3480376
173,0.3480376
174,0.3480376
175,0.3480376
176,0.3480376
177,0.3480376
178,0.3480376
179,0.3480376
180,0.3480376
181,0.3480376
182,0.3480376
183,0.3480376
184,0.3480376
185,0.3480376
186,0.3480376
187,0.3480376
188,0.3480376
189,0.3480376
190,0.3480376
191,0.3480376
192,0.3480376
193,0.3480376
194,0.3480376
195,0.3480376
196,0.3480376
197,0.3480376
198,0.3480376
199,0.3480376
200,0.3480376
201,0.3480376
